id,review_id,platform,source,lang,detected_lang,is_hinglish,content,cleaned_content,text_for_model,score,star_bucket,thumbs_up,high_engagement,review_length,at,week,year_month,app_version,kmeans_cluster,cluster_name,hdbscan_cluster,hdbscan_is_noise,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9,umap_10,isolation_anomaly,isolation_score,ocsvm_anomaly,ocsvm_score,tier1_critical,severity,severity_label_weak,severity_label_gold,gold_split,severity_label_ml,severity_score_ml
0,ac9ff512-426f-4c21-becd-4d7235297fa9,Myntra,google_play,en,en,False,good quality,good quality,good quality,5,positive,0,False,2,2026-04-02 21:24:38+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,0,Delivery Failure,-1,True,6.348069,6.124732,0.07444135,5.6460667,4.949638,1.5167485,4.9335327,3.209988,2.4050374,5.623379,False,-0.0919049590880713,False,0.0,False,GREEN,0,0,train,Low,0.9999994891726309
1,9cb3b3a2-3073-4f66-85a0-11e65d61db21,Myntra,google_play,en,en,False,app with quality products 👍🏻,app with quality products,app with quality products,5,positive,0,False,4,2026-04-02 21:24:30+00:00,2026-03-30/2026-04-05,2026-04,4.2602.11,1,Refund & Payment Issues,9,False,1.7857838,6.23433,2.1230073,5.3678575,5.2602563,2.1028526,5.4161563,3.0663908,2.5569408,5.590263,False,-0.1000223155262864,False,0.0,False,GREEN,0,0,train,Low,0.9999994891726309
2,f18e82f0-083f-41ff-ad64-3e6bdbb222ad,Myntra,google_play,en,ro,False,nice prodect,nice prodect,nice prodect,4,positive,0,False,2,2026-04-02 21:24:01+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,0,Delivery Failure,0,False,7.819155,6.483523,-0.06412165,6.157399,5.037651,1.5014374,4.768571,2.5814385,2.6793826,5.602038,False,-0.0837296104445032,False,0.0,False,GREEN,0,0,train,Low,0.9999994891726309
3,8355aa01-5b77-4a17-8bbd-fe5dbd07847d,Myntra,google_play,en,en,True,I dont understand this feature. Firstly they gave an option to use current location. then the delivery agent reached out to me saying that he was 7.5km away from me. Why give features which are not tracked properly. I have rechecked my address and it's exact same but the delivery agent is at diff location. when I try to reach out to customer care. there is no option to talk to a human.. it was the same options again and again. The customer service is too bad.,i dont understand this feature. firstly they gave an option to use current location. then the delivery agent reached out to me saying that he was 7.5km away from me. why give features which are not tracked properly. i have rechecked my address and it's exact same but the delivery agent is at diff location. when i try to reach out to customer care. there is no option to talk to a human.. it was the same options again and again. the customer service is too bad.,i dont understand this feature. firstly they gave an option to use current location. then the delivery agent reached out to me saying that he was 7.5km away from me. why give features which are not tracked properly. i have rechecked my address and it's exact same but the delivery agent is at diff location. when i try to reach out to customer care. there is no option to talk to a human.. it was the same options again and again. the customer service is too bad.,1,complaint,0,False,87,2026-04-02 21:21:20+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,2,Fake/Counterfeit Product,4,False,4.937112,3.1333888,3.499282,6.5459676,5.1781163,0.9408805,6.217435,4.1806383,1.7737069,4.9746976,False,-0.0635982165628085,False,0.0,False,GREEN,1,1,train,Medium,0.9999989196275608
4,8b4ab126-e808-48f8-9227-f1b90e766a22,Myntra,google_play,en,en,False,very bad choice,very bad choice,very bad choice,1,complaint,0,False,3,2026-04-02 21:11:18+00:00,2026-03-30/2026-04-05,2026-04,,0,Delivery Failure,5,False,6.1931705,4.4054074,2.4057267,6.80234,5.9509807,1.2245165,5.816673,2.6763816,2.1992195,5.2210226,False,-0.0600601023888287,False,0.0,False,GREEN,1,1,train,Medium,0.9999989196275608
5,ccb364c3-dcf4-4aa2-a89c-e4bbfd62ea8a,Myntra,google_play,en,en,False,product quality is really good.,product quality is really good.,product quality is really good.,5,positive,0,False,5,2026-04-02 21:09:53+00:00,2026-03-30/2026-04-05,2026-04,4.2602.22,0,Delivery Failure,7,False,5.333423,5.8853326,0.43218088,5.647962,4.6070533,1.4679323,5.0382853,3.7861474,2.3780696,5.649436,False,-0.067329623224654,False,0.0,False,GREEN,0,0,train,Low,0.9999994891726309
6,db6d0d36-4536-45ac-99bb-2e9ad038f2ed,Myntra,google_play,en,en,False,very helpful,very helpful,very helpful,5,positive,0,False,2,2026-04-02 21:04:08+00:00,2026-03-30/2026-04-05,2026-04,,0,Delivery Failure,-1,True,7.701155,6.1518207,0.32087702,5.57105,5.332338,1.171659,4.73863,2.7439008,2.406911,5.1633215,False,-0.0445737169923124,False,0.0,False,GREEN,0,0,train,Low,0.9999994891726309
7,a6ec865d-9979-4539-821b-2239e83ffe68,Myntra,google_play,en,en,False,amazing app for best shopping,amazing app for best shopping,amazing app for best shopping,5,positive,0,False,5,2026-04-02 20:43:30+00:00,2026-03-30/2026-04-05,2026-04,,1,Refund & Payment Issues,11,False,2.5874388,6.643125,1.3007125,4.6515207,5.687714,2.0099487,5.1682644,3.0699344,2.466171,5.4366503,False,-0.0765310787115371,False,0.0,False,GREEN,0,0,train,Low,0.9999994891726309
8,d3b9f852-5ace-4149-8093-e5c691811b9b,Myntra,google_play,en,en,False,Never gives original products so irritating application,never gives original products so irritating application,never gives original products so irritating application,1,complaint,0,False,7,2026-04-02 20:41:40+00:00,2026-03-30/2026-04-05,2026-04,,2,Fake/Counterfeit Product,4,False,2.9081314,3.4307096,3.8922386,6.56226,5.524514,1.3231163,6.369929,3.458811,1.995586,5.184742,False,-0.0476721509013494,False,0.0,False,GREEN,1,1,train,Medium,0.9999989196275608
9,5b27c6e9-96e4-468d-a5f5-f3a899c62fcf,Myntra,google_play,en,en,False,Myntra is the best online shopping app,myntra is the best online shopping app,myntra is the best online shopping app,5,positive,0,False,7,2026-04-02 20:30:47+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,1,Refund & Payment Issues,11,False,2.8807087,6.542506,1.2640234,4.654365,5.665903,1.911638,5.1285625,3.2214997,2.4120638,5.379838,False,-0.0857708185993209,False,0.0,False,GREEN,0,0,train,Low,0.9999994891726309
10,828ebe63-13a5-4a81-8dee-6f3a16e308b5,Myntra,google_play,en,id,False,best aap best aap best aap h myntra m sabse aacha kapra milata h m to myntra se online karti hu m bta ni sakti m kitna happy hu myntra se shoping k liye m 10000 k saman kharid chuki hu sb aachha h ak bhi product pr sikayat nhi kr sakti hu itna aacha saman Mila h m photo video bhi post ki hu myntra ka sb kuch aacha hota h aap log bhi is se hi khaired ye mera sara rishtedar bhi isse hi shoping karta h m sabko btai sb thanks myntra,best aap best aap best aap h myntra m sabse aacha kapra milata h m to myntra se online karti hu m bta ni sakti m kitna happy hu myntra se shoping k liye m 100 k saman kharid chuki hu sb aachha h ak bhi product pr sikayat nhi kr sakti hu itna aacha saman mila h m photo video bhi post ki hu myntra ka sb kuch aacha hota h aap log bhi is se hi khaired ye mera sara rishtedar bhi isse hi shoping karta h m sabko btai sb thanks myntra,best aap best aap best aap h myntra m sabse aacha kapra milata h m to myntra se online karti hu m bta ni sakti m kitna happy hu myntra se shoping k liye m 100 k saman kharid chuki hu sb aachha h ak bhi product pr sikayat nhi kr sakti hu itna aacha saman mila h m photo video bhi post ki hu myntra ka sb kuch aacha hota h aap log bhi is se hi khaired ye mera sara rishtedar bhi isse hi shoping karta h m sabko btai sb thanks myntra,5,positive,0,False,95,2026-04-02 20:27:45+00:00,2026-03-30/2026-04-05,2026-04,4.2603.20,3,App Crash / UX Bug,1,False,9.712557,5.5900903,5.37725,4.641149,6.491076,1.5174686,5.6300287,3.0262377,2.6166246,4.4868784,False,-0.0490364693245989,False,0.0,False,GREEN,0,0,train,Low,0.9999994891726309
