id,review_id,platform,source,lang,detected_lang,is_hinglish,content,cleaned_content,text_for_model,score,star_bucket,thumbs_up,high_engagement,review_length,at,week,year_month,app_version
0,49a2942f-99da-431f-9ee8-e817d8d4a89a,Myntra,google_play,en,en,False,great experience 😃 happy,great experience happy,great experience happy,5,positive,0,False,3,2026-04-04 00:55:28+00:00,2026-03-30/2026-04-05,2026-04,
1,ea39d800-8433-4d13-b680-2c27302cb9d4,Myntra,google_play,en,en,False,very bad experience in myntra. flipkart return policy is best. myntra app has detected.,very bad experience in myntra. flipkart return policy is best. myntra app has detected.,very bad experience in myntra. flipkart return policy is best. myntra app has detected.,1,complaint,0,False,14,2026-04-04 00:51:52+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10
2,b8a0cef2-19dd-4c6d-88a7-d6cda5c9d379,Myntra,google_play,en,en,False,amazing super fantastic myntra...thank you myntra App☺️☺️☺️☺️ speed deliver.... Amazing product 🥰🥰🥰🥰🫶🏻🫶🏻🫶🏻🫶🏻🥰🥰🥰🥰😘😘😘😘😘🎉🎉🎉🎉 super duper hit nd hot myntra app,amazing super fantastic myntra...thank you myntra app speed deliver.. amazing product super duper hit nd hot myntra app,amazing super fantastic myntra...thank you myntra app speed deliver.. amazing product super duper hit nd hot myntra app,5,positive,0,False,18,2026-04-04 00:42:20+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10
3,06041e49-ad5b-4e27-bdb7-04eaef07fa89,Myntra,google_play,en,ro,False,superb products,superb products,superb products,5,positive,0,False,2,2026-04-04 00:35:08+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10
4,e50cc57b-7859-45cb-9dbd-0361d3934a39,Myntra,google_play,en,en,True,"Got a very low quality product with a different nighty type something. Seems to be already used as it's not even having tags when delivered. Myntra declined to take it as a return as it's not having tags. Worst behaviour and experience with the order itself. Not going to place any other order. Even after sending the mail to mention email in comment, i didn't get any favour. Myntra sends products which doesn't qualify quality check by their team itself and customer will be blamed and no refund.","got a very low quality product with a different nighty type something. seems to be already used as it's not even having tags when delivered. myntra declined to take it as a return as it's not having tags. worst behaviour and experience with the order itself. not going to place any other order. even after sending the mail to mention email in comment, i didn't get any favour. myntra sends products which doesn't qualify quality check by their team itself and customer will be blamed and no refund.","got a very low quality product with a different nighty type something. seems to be already used as it's not even having tags when delivered. myntra declined to take it as a return as it's not having tags. worst behaviour and experience with the order itself. not going to place any other order. even after sending the mail to mention email in comment, i didn't get any favour. myntra sends products which doesn't qualify quality check by their team itself and customer will be blamed and no refund.",1,complaint,0,False,88,2026-04-04 00:30:20+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10
5,a273fba0-32f5-412d-ad5d-e861d138d18c,Myntra,google_play,en,en,False,myntra products are cheap and best quality products,myntra products are cheap and best quality products,myntra products are cheap and best quality products,5,positive,0,False,8,2026-04-04 00:27:36+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10
6,ea3de622-94ee-4a79-8b47-f9776877e14f,Myntra,google_play,en,af,False,very good app,very good app,very good app,5,positive,0,False,3,2026-04-04 00:24:06+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10
7,774970ae-2977-4c32-96a0-aac7875cec7e,Myntra,google_play,en,en,False,it's an osm app for shopping,it's an osm app for shopping,it's an osm app for shopping,5,positive,0,False,6,2026-04-04 00:13:18+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10
8,141a390f-a73a-4d1a-92b0-17b4f53178b9,Myntra,google_play,en,en,True,what kind of service your are giving to customer like seriously I have damage product from your site literally guys mane 1376 diya hain damage product ke liya diya hain kya,what kind of service your are giving to customer like seriously i have damage product from your site literally guys mane 1376 diya hain damage product ke liya diya hain kya,what kind of service your are giving to customer like seriously i have damage product from your site literally guys mane 1376 diya hain damage product ke liya diya hain kya,1,complaint,0,False,31,2026-04-04 00:11:18+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10
9,34658918-7d69-401c-a8ca-2aa1f5704fb4,Myntra,google_play,en,da,False,satisfied overall,satisfied overall,satisfied overall,5,positive,0,False,2,2026-04-03 23:57:49+00:00,2026-03-30/2026-04-05,2026-04,4.2512.21
10,6e98c9cf-a523-47ac-a8f5-dee6b7fdd94a,Myntra,google_play,en,en,False,myntra now is too good,myntra now is too good,myntra now is too good,5,positive,0,False,5,2026-04-03 23:42:08+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10
11,458be5cc-2536-4fdd-968e-642bb664c657,Myntra,google_play,en,en,False,very fast delivery and product quality is very good.,very fast delivery and product quality is very good.,very fast delivery and product quality is very good.,5,positive,0,False,9,2026-04-03 23:39:12+00:00,2026-03-30/2026-04-05,2026-04,
12,ce3dd945-036d-47d2-99cd-03a400377e78,Myntra,google_play,en,en,False,I always love to order from myntra,i always love to order from myntra,i always love to order from myntra,5,positive,0,False,7,2026-04-03 23:38:31+00:00,2026-03-30/2026-04-05,2026-04,
13,7bb90c05-eeb2-4eab-8d3b-a3eff4e56cc1,Myntra,google_play,en,hr,False,just amazing,just amazing,just amazing,5,positive,0,False,2,2026-04-03 23:37:53+00:00,2026-03-30/2026-04-05,2026-04,4.2602.22
14,94589348-f31b-4162-a348-15f23fb08131,Myntra,google_play,en,en,False,best quality and less price comparing to other apps,best quality and less price comparing to other apps,best quality and less price comparing to other apps,5,positive,0,False,9,2026-04-03 23:36:15+00:00,2026-03-30/2026-04-05,2026-04,
15,49999335-3f10-4489-a69a-8ef6636f1f84,Myntra,google_play,en,en,False,this app is amazing here you can find clothes and other lifestyle products according to your needs.,this app is amazing here you can find clothes and other lifestyle products according to your needs.,this app is amazing here you can find clothes and other lifestyle products according to your needs.,5,positive,0,False,17,2026-04-03 23:25:16+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10
16,49c1c028-2508-4ad6-9103-123e50758d8e,Myntra,google_play,en,en,False,great & easy to use,great easy to use,great easy to use,5,positive,0,False,4,2026-04-03 23:21:23+00:00,2026-03-30/2026-04-05,2026-04,
17,881cd052-4107-42c0-82aa-31272096835e,Myntra,google_play,en,en,False,Trusted app❤️,trusted app,trusted app,5,positive,0,False,2,2026-04-03 23:20:36+00:00,2026-03-30/2026-04-05,2026-04,4.2602.22
18,0e728f48-53bd-486d-8598-78516d2ffd02,Myntra,google_play,en,ro,False,great experience 💝,great experience,great experience,5,positive,0,False,2,2026-04-03 23:20:17+00:00,2026-03-30/2026-04-05,2026-04,
19,928572da-74aa-4843-929b-e0110ded9824,Myntra,google_play,en,en,False,I liked the basss,i liked the basss,i liked the basss,5,positive,0,False,4,2026-04-03 23:17:41+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10
20,7c8b4d69-6362-4b19-8e92-0a7616cb152f,Myntra,google_play,en,en,False,great service,great service,great service,5,positive,0,False,2,2026-04-03 23:15:59+00:00,2026-03-30/2026-04-05,2026-04,4.2603.20
