id,review_id,platform,source,lang,detected_lang,is_hinglish,content,cleaned_content,text_for_model,score,star_bucket,thumbs_up,high_engagement,review_length,at,week,year_month,app_version,kmeans_cluster,cluster_name,hdbscan_cluster,hdbscan_is_noise,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9,umap_10
0,9c8755da-f194-444a-9831-b34591494e27,Myntra,google_play,en,en,True,can you have a separate section for maternity.its convenient for all because most of the maxi dress and nighty are maternity wear . it takes a lot of scrolling to get a maxi dress in women section . it should be seperately done maternity curves to much time spend on searching to later find it to be maternity dresswear. 🙄🙄,can you have a separate section for maternity.its convenient for all because most of the maxi dress and nighty are maternity wear . it takes a lot of scrolling to get a maxi dress in women section . it should be seperately done maternity curves to much time spend on searching to later find it to be maternity dresswear.,can you have a separate section for maternity.its convenient for all because most of the maxi dress and nighty are maternity wear . it takes a lot of scrolling to get a maxi dress in women section . it should be seperately done maternity curves to much time spend on searching to later find it to be maternity dresswear.,3,mixed,0,False,59,2026-04-02 19:37:10+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,3,App Crash / UX Bug,8,False,3.9741423,7.296035,1.1826782,5.6201286,5.8230863,2.0178792,5.9949136,3.2725415,3.0038757,5.1070905
1,26125571-8d9f-4861-b0f7-eada707b3242,Myntra,google_play,en,ro,False,Great experience,great experience,great experience,5,positive,0,False,2,2026-04-02 19:29:43+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,2,Fake/Counterfeit Product,-1,True,6.5454946,5.332972,0.10683531,7.0345836,5.7381124,1.4660805,5.8254795,3.8996794,2.9273024,4.671862
2,53c15460-2be4-4d7b-88f2-812f13fadfed,Myntra,google_play,en,en,False,I ordered dress from Myntra the quality is really awesome,i ordered dress from myntra the quality is really awesome,i ordered dress from myntra the quality is really awesome,5,positive,0,False,10,2026-04-02 19:28:28+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,3,App Crash / UX Bug,8,False,3.904301,7.4429708,1.1886542,5.561582,5.713497,2.0598288,6.0129414,3.362297,2.8987336,5.114655
3,2dd26533-0db6-4d5f-b895-0652e76c1894,Myntra,google_play,en,en,False,Interface is good,interface is good,interface is good,4,positive,0,False,3,2026-04-02 19:27:44+00:00,2026-03-30/2026-04-05,2026-04,,3,App Crash / UX Bug,2,False,1.2251508,6.3753753,2.3350048,4.9585433,5.322512,1.3781023,5.7526627,2.9142063,3.2567317,5.9633617
4,8d38c610-eea4-4425-bcc7-b9224bf220f2,Myntra,google_play,en,en,False,You will get here good quality cloths,you will get here good quality cloths,you will get here good quality cloths,5,positive,0,False,7,2026-04-02 19:26:29+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,3,App Crash / UX Bug,8,False,4.106872,7.4912643,1.1684595,5.531775,5.7783246,2.1240385,6.0512466,3.3102868,2.9153845,5.061889
5,e9e9a395-d187-4ccc-9cd8-932c70bb14c5,Myntra,google_play,en,en,False,good quality products,good quality products,good quality products,5,positive,0,False,3,2026-04-02 19:24:59+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,2,Fake/Counterfeit Product,7,False,4.7632575,6.851074,0.43735245,6.289938,5.168224,1.8522172,5.818623,4.0280714,2.5843112,5.0554643
6,c760962b-5d77-4685-b079-dc41fd9d2a0f,Myntra,google_play,en,en,False,excellent shopping experience on myntra...,excellent shopping experience on myntra...,excellent shopping experience on myntra...,5,positive,0,False,5,2026-04-02 19:24:53+00:00,2026-03-30/2026-04-05,2026-04,4.2602.22,3,App Crash / UX Bug,10,False,4.1552553,7.8799067,1.6016573,5.1390457,5.2259545,2.4138846,6.014649,3.7118602,2.3993528,4.8774447
7,2de44536-ed6e-4e0c-a7a8-c6e4215360d3,Myntra,google_play,en,en,False,This product is really good,this product is really good,this product is really good,5,positive,0,False,5,2026-04-02 19:23:45+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,2,Fake/Counterfeit Product,7,False,4.8663564,6.7658114,0.38074303,6.43786,5.176717,1.7842022,5.789245,4.0949235,2.595242,5.079138
8,a4c7776d-eb15-4262-bb7a-52557fabfbde,Myntra,google_play,en,en,False,good offers and good size,good offers and good size,good offers and good size,5,positive,0,False,5,2026-04-02 19:18:55+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,2,Fake/Counterfeit Product,6,False,5.256592,6.7577095,1.5641098,5.4049735,5.4489713,2.2555454,6.0359535,3.6321712,2.466598,4.9658265
9,cf7d22b2-5cfb-4236-9367-cd5485592796,Myntra,google_play,en,en,True,"This shopping app is a complete mess and a fraud. The app itself is not reliable but what makes it worse is the delivery experience. Delivery boys are often rude, misbehave, and give false updates about orders. They’ll mark items as ""coming soon” when they’re nowhere near or come up with excuses that just don’t add up. Overall, it feels dishonest and frustrating to deal with. Definitely not worth using when there are much better and more reliable options out there. Never recommending this.","this shopping app is a complete mess and a fraud. the app itself is not reliable but what makes it worse is the delivery experience. delivery boys are often rude, misbehave, and give false updates about orders. they ll mark items as coming soon when they re nowhere near or come up with excuses that just don t add up. overall, it feels dishonest and frustrating to deal with. definitely not worth using when there are much better and more reliable options out there. never recommending this.","this shopping app is a complete mess and a fraud. the app itself is not reliable but what makes it worse is the delivery experience. delivery boys are often rude, misbehave, and give false updates about orders. they ll mark items as coming soon when they re nowhere near or come up with excuses that just don t add up. overall, it feels dishonest and frustrating to deal with. definitely not worth using when there are much better and more reliable options out there. never recommending this.",1,complaint,0,False,87,2026-04-02 19:10:44+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,1,Refund & Payment Issues,11,False,4.6023736,2.7700987,3.9195724,5.350234,5.167616,2.017196,5.430304,3.4659488,2.8504624,5.289915
